Year of publication,"Number of entries
(public release for academic/non-profits only)","Number of entries
(HGMD Professional release 2013.1)"
1977,0,1
1978,2,2
1979,5,5
1980,18,19
1981,23,24
1982,17,17
1983,35,38
1984,33,35
1985,44,45
1986,57,59
1987,87,88
1988,160,160
1989,309,315
1990,453,455
1991,742,746
1992,1175,1181
1993,1394,1399
1994,2283,2289
1995,2421,2457
1996,3032,3039
1997,3785,3803
1998,4646,4663
1999,5259,5278
2000,5504,5555
2001,5858,5923
2002,5524,5576
2003,6039,6131
2004,6005,6096
2005,8140,8269
2006,8561,8748
2007,8432,8838
2008,8092,8532
2009,10084,11341
2010,1535,10243
2011,85,11334
2012,28,12950
2013,2,1302
